File.Name,Region.of.Interest,Number.of.Root.Tips,Number.of.Branch.Points,Total.Root.Length.mm,Branching.frequency.per.mm,Network.Area.mm2,Average.Diameter.mm,Median.Diameter.mm,Maximum.Diameter.mm,Perimeter.mm,Volume.mm3,Surface.Area.mm2,Computation.Time.s,Root.Length.Diameter.Range.1.mm,Root.Length.Diameter.Range.2.mm,Root.Length.Diameter.Range.3.mm,Root.Length.Diameter.Range.4.mm,Root.Length.Diameter.Range.5.mm,Root.Length.Diameter.Range.6.mm,Root.Length.Diameter.Range.7.mm,Projected.Area.Diameter.Range.1.mm2,Projected.Area.Diameter.Range.2.mm2,Projected.Area.Diameter.Range.3.mm2,Projected.Area.Diameter.Range.4.mm2,Projected.Area.Diameter.Range.5.mm2,Projected.Area.Diameter.Range.6.mm2,Projected.Area.Diameter.Range.7.mm2,Surface.Area.Diameter.Range.1.mm2,Surface.Area.Diameter.Range.2.mm2,Surface.Area.Diameter.Range.3.mm2,Surface.Area.Diameter.Range.4.mm2,Surface.Area.Diameter.Range.5.mm2,Surface.Area.Diameter.Range.6.mm2,Surface.Area.Diameter.Range.7.mm2,Volume.Diameter.Range.1.mm3,Volume.Diameter.Range.2.mm3,Volume.Diameter.Range.3.mm3,Volume.Diameter.Range.4.mm3,Volume.Diameter.Range.5.mm3,Volume.Diameter.Range.6.mm3,Volume.Diameter.Range.7.mm3
id1.png,Full,138,368,1870.013631,0.19679,981.76999,0.611863,0.535479,2.74743,3361.026977,675.578407,3589.548949,1.677,1.730789,27.847945,753.141707,913.081701,167.427475,6.784014,0,0.128415,5.982948,308.705385,594.94432,217.465853,15.361995,0,0.403428,18.795986,969.826571,1869.072704,683.189127,48.261132,0,0.008057,1.032046,101.539535,315.626126,229.814567,27.558077,0
id2.png,Full,117,249,1270.161028,0.196038,745.277631,0.686966,0.598684,2.923147,2267.678314,587.517138,2739.747137,1.195,1.935192,19.838649,333.1522,759.683818,142.890449,12.660719,0,0.148769,3.964315,138.983778,508.606464,190.338135,30.047139,0,0.467371,12.454264,436.630415,1597.83433,597.964888,94.39587,0,0.009508,0.64474,46.500822,277.041636,206.569714,56.750718,0
id3.png,Full,229,1586,3077.429911,0.515365,1517.143471,0.604264,0.535479,3.230951,5222.664492,1120.867206,5835.1236,5.723,20.567128,118.715321,1195.871031,1461.175112,263.888735,17.212585,0,1.811908,23.674238,472.644956,979.681012,337.654748,41.675483,0,5.692277,74.386755,1485.057196,3078.178813,1060.881166,130.927392,0,0.128499,3.847369,150.600077,534.917033,350.73254,80.641687,0
id5.png,Full,242,1508,3237.483766,0.465794,1552.35711,0.572627,0.508,3.562545,5674.426302,1060.717099,5816.297496,6.438,17.772612,111.027371,1487.362246,1391.730457,209.436952,20.154129,0,1.555173,22.506537,597.756751,910.238618,271.254916,47.98866,0,4.885719,70.718315,1878.009844,2859.750346,852.172452,150.76082,0,0.110116,3.697049,193.041423,485.180707,286.684761,92.003043,0
id6.png,Full,10,14,114.404042,0.122373,59.2911,0.571703,0.535479,1.27,216.06794,32.429662,206.087939,0.155,0.123368,2.160139,40.213942,68.708405,3.198187,0,0,0.010942,0.404899,17.292712,44.383037,3.508238,0,0,0.034374,1.272028,54.326659,139.433424,11.021455,0,0,0.000779,0.063189,5.950893,23.378608,3.036194,0,0
id7.png,Full,231,581,2914.166931,0.199371,1587.865104,0.632045,0.567961,2.652176,5220.012384,1085.202397,5768.247672,3.967,5.588151,60.006626,929.479405,1656.442877,253.167418,9.482453,0,0.384772,12.168598,382.903154,1101.971932,317.370622,21.247411,0,1.208797,38.228777,1202.925736,3461.996088,997.137564,66.750709,0,0.022794,1.99702,126.792781,596.871346,321.899923,37.618532,0
id8.png,Full,208,1698,2952.084074,0.575187,1553.584258,0.681117,0.592667,2.879911,4685.508961,1380.754522,6305.595293,4.374,15.651797,101.222389,919.778475,1459.646492,427.428718,28.356203,0,1.357706,20.519777,364.261761,1000.775143,555.644396,64.486348,0,4.265358,64.476723,1144.453858,3144.201162,1745.608354,202.589837,0,0.095555,3.373794,116.406457,559.121736,585.63562,116.121359,0
id9.png,Full,6,4,72.986715,0.054804,47.495425,0.670446,0.677333,1.17927,149.084975,27.383435,153.478993,0.189,0,0.241601,11.043543,58.99473,2.706841,0,0,0,0.046127,4.592586,41.328279,2.886889,0,0,0,0.144911,14.428033,129.836619,9.069431,0,0,0,0.007223,1.521341,23.430358,2.424512,0,0
id10.png,Full,233,1670,3581.285656,0.466313,1717.402927,0.578005,0.509761,3.362503,6227.557726,1197.991393,6491.02391,8.767,18.617409,114.644681,1541.805324,1644.788624,237.393953,24.035666,0,1.590723,22.879859,612.419119,1060.593256,310.75266,57.736952,0,4.997402,71.891142,1924.148673,3332.342434,976.258275,181.385984,0,0.111227,3.718674,195.868409,555.848718,331.311151,111.133214,0
id11.png,Full,144,1167,2427.328195,0.480776,1274.441896,0.646841,0.550333,3.385873,4139.555776,1073.922755,4917.269194,4.246,12.451224,79.685635,878.289423,1184.468225,228.044989,44.388698,0,1.061,16.064841,355.098345,785.891238,298.941102,108.049375,0,3.333231,50.469187,1115.661936,2469.206548,939.151168,339.447124,0,0.074023,2.62669,115.661048,424.99474,320.104823,210.461431,0
